,Compounds,Neg,Neu,Pos,Date
127,0.070669565,0.083434783,0.837869565,0.078695652,daily_general_discussion_september_19_2017
128,0.103507143,0.080285714,0.826071429,0.093714286,daily_general_discussion_september_20_2017
129,0.147605556,0.062333333,0.854444444,0.083222222,daily_general_discussion_september_21_2017
130,0.109440909,0.072,0.832954545,0.094954545,daily_general_discussion_september_22_2017
131,0.4782125,0.020875,0.838,0.14125,daily_general_discussion_september_23_2017
132,0.29305,0.0516,0.8259,0.1226,daily_general_discussion_september_24_2017
133,0.273945,0.0419,0.8629,0.09515,daily_general_discussion_september_25_2017
134,0.169128571,0.065,0.740285714,0.194857143,daily_general_discussion_september_26_2017
135,0.221123077,0.053615385,0.824923077,0.121461538,daily_general_discussion_september_27_2017
136,0.258723077,0.044846154,0.874461538,0.080769231,daily_general_discussion_september_28_2017
137,0.386725,0.0155625,0.86925,0.1151875,daily_general_discussion_september_29_2017
138,0.182588235,0.042588235,0.868588235,0.088882353,daily_general_discussion_september_30_2017
